CGPA,Attendance,Backlogs,ParentalIncome,BehaviorRating,PerformanceTrend,RiskLabel
4.92,44,2,129879,5,1,High Risk
5.48,53,2,77221,5,0,Medium Risk
7.63,59,5,15311,5,-1,High Risk
4.37,51,4,140608,3,1,High Risk
9.67,32,4,13890,7,-1,Dropout
5.51,47,3,18792,2,0,Suspended
4.38,82,1,134243,7,-1,High Risk
8.5,64,5,45920,4,0,High Risk
7.17,31,5,88953,4,0,Dropout
2.24,47,1,47065,4,0,High Risk
7.67,44,7,50397,7,-1,High Risk
9.5,82,7,22185,9,-1,High Risk
3.1,44,4,124752,9,1,High Risk
5.3,30,3,143767,8,1,Dropout
8.36,37,2,71858,1,1,Dropout
2.58,70,3,32662,9,0,High Risk
2.74,52,5,133684,3,0,High Risk
8.92,94,2,123252,3,-1,High Risk
7.63,43,6,131626,9,1,High Risk
5.33,71,3,60015,7,-1,High Risk
4.45,33,5,115878,7,-1,Dropout
6.21,58,3,72623,7,1,Medium Risk
7.42,57,1,119225,9,-1,High Risk
8.8,57,3,35939,7,-1,High Risk
4.48,30,0,147848,4,-1,Dropout
8.71,99,7,146602,9,0,High Risk
3.73,80,1,137659,8,1,High Risk
3.31,61,7,78840,4,-1,Dropout
2.51,87,3,62733,7,0,High Risk
7.56,85,0,36736,2,0,Suspended
5.21,30,2,60859,6,1,Dropout
7.24,85,2,35342,6,-1,High Risk
6.93,99,5,44698,1,-1,Suspended
4.5,99,7,25708,3,1,High Risk
3.72,96,6,143983,7,-1,Dropout
7.39,68,1,21111,1,1,Suspended
4.66,79,6,31918,3,1,High Risk
7.15,89,0,143121,1,0,Suspended
9.0,66,7,17400,3,1,High Risk
7.66,32,3,16295,6,-1,Dropout
7.01,65,5,136063,9,1,High Risk
9.59,47,7,31357,2,0,Suspended
7.4,90,0,104179,1,-1,Suspended
5.85,77,3,68871,8,1,Medium Risk
7.62,62,7,117450,3,0,High Risk
4.07,59,5,57333,3,0,High Risk
9.07,56,1,64045,1,1,Suspended
5.84,98,3,55714,4,1,Medium Risk
7.99,46,3,134123,5,0,Medium Risk
4.89,66,7,13420,1,0,Suspended
9.54,89,0,134019,5,1,Low Risk
4.09,96,7,36641,9,0,High Risk
9.3,87,2,46631,2,1,Suspended
9.72,95,6,92074,2,0,Suspended
7.78,62,0,140858,6,1,Medium Risk
4.29,55,2,39592,8,-1,High Risk
2.64,36,0,120627,4,-1,Dropout
2.55,45,5,97922,7,1,High Risk
4.93,95,7,134862,6,1,High Risk
5.63,92,5,32677,6,-1,High Risk
2.29,99,6,105285,5,-1,Dropout
8.46,89,3,124692,7,0,Low Risk
2.4,76,2,83523,2,0,Suspended
4.52,46,7,92750,3,0,High Risk
2.61,91,6,142222,9,-1,Dropout
2.45,30,6,148877,6,-1,Dropout
7.15,30,7,39375,5,0,Dropout
7.69,96,3,77215,3,-1,High Risk
2.94,58,5,19435,5,1,High Risk
2.32,91,3,53919,5,1,High Risk
4.7,52,1,33049,6,-1,High Risk
8.92,81,6,33289,3,0,High Risk
5.91,98,4,145683,8,1,Medium Risk
9.37,61,2,21938,1,-1,Suspended
8.33,72,4,113691,3,-1,High Risk
9.5,72,3,118940,2,-1,Suspended
2.74,64,6,103008,8,-1,Dropout
8.59,63,2,30358,4,0,Medium Risk
7.43,58,7,115891,9,-1,High Risk
